index,RoomID,RoomName,type,dec
1,entrance_hall,곰팡내 나는 대합실,B1 / 진입 구역,"게이트 진입 시 마주하는 첫 구역. 탁한 공기와 악취가 진동하며, 바닥과 벽은 정체 모를 점액질로 뒤덮여 있다."
2,platform_tracks,어둠에 잠긴 선로,B1 / 전투 및 기믹 구역,"어둠이 깊어지는 주 공략 구역. 복잡하게 얽힌 선로는 길을 잃기 쉬우며, 곳곳에 곰팡이 포자 구름이 시야를 방해한다."
3,terminus_platform,오염의 종착지,B2 / 보스 구역,"모든 오물이 모여드는 가장 깊은 곳. 거대한 플랫폼 중앙에는 게이트의 핵인 보스가 웅크리고 있으며, 바닥은 끈적이는 점액질로 가득하다."
4,misty_path,환각의 산책로,1F / 진입 구역,자욱한 안개와 아름다운 꽃들이 만발한 구역. 헌터들은 이곳에서 던전의 핵심 기믹인 '환각 꽃가루'에 처음 노출된다.
5,tangled_maze,살아있는 미로 정원,1F / 기믹 및 함정 구역,"길이 수시로 바뀌는 살아있는 관목 미로. 곳곳에 '덩굴 올가미'가 숨겨져 있으며, '정화의 샘물'을 찾아야만 올바른 길을 찾을 수 있다."
6,dewy_greenhouse,여왕의 온실,1F / 보스 구역,정원 가장 깊은 곳에 위치한 거대한 유리 온실. 이곳 중앙에는 게이트의 핵이자 보스인 '새벽의 여왕초'가 뿌리내리고 있다.
7,shimmering_entrance,빛나는 수정 통로,B1 / 진입 구역,"좁고 구불구불한 동굴 통로. 벽과 천장에 작은 수정들이 박혀 희미한 빛을 내며, 이곳에서는 단단한 수정 전갈이 파티의 능력을 시험한다."
8,resonating_plaza,거대 수정 광장,B1 / 기믹 구역,"거대한 수정 기둥들이 즐비한 넓은 공동. 이곳부터 '공명충'이 등장하여 '수정 공명 파동'을 일으키므로, 최우선으로 제거해야 하는 전략적 요충지이다."
9,deep_cavern_path,불안정한 파편 길,B2 / 함정 지대,보스의 둥지로 향하는 좁고 어두운 길. 바닥에는 '불안정한 수정 파편' 함정이 빽빽하게 깔려있어 조심스러운 이동을 요구한다.
10,predators_nest,수정 포식자의 둥지,B2 / 보스 구역,수많은 몬스터의 뼈와 부서진 수정 조각들이 널려있는 거대한 공간. 동굴의 지배자인 '수정 동굴의 포식자'가 둥지를 틀고 있다.
11,sunken_temple_gate,잠겨버린 사찰 입구,B1 / 진입 구역,"게이트의 입구. 옛 사찰의 일주문이 절반쯤 물에 잠겨 있으며, 탁한 물 속에서 망령들이 어른거린다."
12,flooded_courtyard,원념이 고인 마당,B2 / 수중 전투 구역,넓은 마당 전체가 물에 잠겨 시야가 극도로 제한된다. 바닥의 진흙 속에서 '수몰된 망령'들이 기습적으로 나타난다.
13,bell_tower_base,종탑의 잠긴 기반,B3 / 중간 거점,"거대한 종탑의 가장 아랫부분. 종소리가 더욱 가깝게 들리며, 이곳부터 강력한 '녹슨 종의 파수꾼'이 등장한다."
14,winding_stairs,끝없는 나선 계단,B2~B1 / 수직 이동 구역,"종탑 내부의 좁고 긴 나선형 계단. 종이 울릴 때마다 수위가 급격하게 변하여, 익사 위험과 망령들의 습격에 동시에 대처해야 한다."
15,watchmans_chamber,종지기의 대기실,B1 / 중간보스 구역,"종각 바로 아래에 위치한 방. 정예 등급의 '녹슨 종의 파수꾼'이 출입을 막고 있으며, 보스 공략의 힌트가 숨겨져 있다."
16,belfry,비탄의 종이 울리는 곳,1F / 보스 구역,"종탑의 최상층. 거대한 '비탄의 종'이 매달려 있으며, 그 아래를 게이트의 보스인 '종지기'가 지키고 있다."
17,ash_slope_entrance,잿더미 속의 기습,1F / 진입 및 복합 전투 구역,"가파른 화산재 비탈길. 전방의 흑요석 파수병과 교전하는 사이, 잿더미 속에 숨어있던 용암 도마뱀들이 파티의 후방을 기습한다."
18,unstable_field,무너지는 암반 지대,B1 / 회피 및 생존 구역,"불안정한 바위들이 즐비한 넓은 공간. 바닥에서는 용암 분출구가, 하늘에서는 불씨 날개 드레이크가 헌터들의 위치 선정을 강요한다."
19,lava_spider_nest,끈적이는 용암 동굴,B2 / 서브 구역,수많은 용암거미가 둥지를 틀고 있는 동굴. 바닥 전체가 용암 거미줄로 뒤덮여 기동성이 극도로 제한된다.
20,lava_river,용암지대의 공방전,B2 / 입체 전투 구역,용암이 강처럼 흐르는 지역. 하늘의 드레이크와 지상의 거미 떼가 연계하여 헌터들을 용암 분출구로 유도하는 핵심 공략 구간.
21,throne_antechamber,최후의 전술 퍼즐,B3 / 중간보스 구역,"보스로 가는 마지막 길목. 재의 주술사가 정예 파수병들을 불사신처럼 강화하고 있어, 파티의 역할 분담과 전략 수행 능력을 시험한다."
22,tyrants_throne_room,화산의 심장부,B4 / 보스 구역,거대한 흑요석 왕좌가 놓인 분화구의 심장. 화산의 군주는 전투 중 주기적으로 부하들을 소환하여 헌터들을 압박한다.
