index,ID,name,category,desc
1,T-001,끈적이 바닥,Trap,밟으면 이동 속도가 크게 감소하는 점액질 지역. 곰팡이 슬라임이 남기거나 보스가 생성한다.
2,EV-001,비상 전력 스위치,Event,작동시키면 다음 구역으로 가는 통로를 밝히거나 문을 개방하는 낡은 스위치.
3,T-002,덩굴 올가미,Trap,바닥의 특정 지점을 밟으면 가시덩굴이 튀어나와 대상을 짧은 시간 동안 이동 불가 상태로 만든다.
4,EV-002,정화의 샘물,Event,"작은 샘물. 마시면 일시적으로 '환각 꽃가루' 효과에 면역이 되고, 미로의 올바른 길을 볼 수 있게 된다."
5,T-003,불안정한 수정 파편,Trap,강한 충격이 가해지면 폭발하며 주변에 날카로운 파편을 흩뿌리는 수정 함정.
6,EV-003,공명 핵수정,Event,보스의 '파멸의 공명' 패턴을 유지시키는 동력원. 이 수정을 모두 파괴해야만 패턴을 저지할 수 있다.
7,T-004,수중 소용돌이,Trap,바닥의 특정 지점에서 갑자기 발생하는 작은 소용돌이. 휘말린 헌터를 중심으로 끌어당겨 잠시 동안 발을 묶는다.
8,EV-004,비탄의 종,Event,"게이트의 핵심 오브젝트. 주기적으로 스스로 울리거나, 보스에 의해 타종되어 게이트 전체에 영향을 미치는 거대한 종."
9,T-005,용암 분출구,Trap,바닥이 붉게 달아오른 후 강력한 용암 기둥이 솟구치는 함정. 즉사에 가까운 피해를 입힌다.
10,T-006,용암 거미줄,Trap,"용암거미가 뱉는 함정. 밟거나 피격 시 이동 속도가 크게 감소하며, 잠시 후 굳어져 대상을 속박한다."
