index,MonsterID,Step,Phase,linked_scenario,desc
1,M-ETC002,1,초기 대응,,어둠 속에 숨어 붉은 눈을 빛내며 침입자를 관찰한다. 단독으로 노출되지 않도록 경계한다.
2,M-ETC002,2,교전 수칙,,동료 개체와 함께 5마리 이상의 무리를 형성하여 동시에 한 대상을 향해 돌진하여 물어뜯는다. 광역 공격의 징후가 보이면 즉시 흩어진다.
3,B-G001-MAIN,1,초기 대응,,"중앙에서 움직이지 않고, 몸을 부풀리며 위협한다. 원거리의 적을 우선적으로 주시한다."
4,B-G001-MAIN,2,교전 수칙,SCN-002,가장 멀리 있는 대상을 향해 [오물 투척] 패턴을 사용하여 '끈적이 바닥(T-001)' 함정을 생성한다.
5,B-G001-MAIN,3,특수 패턴,SCN-003,체력이 70% 이하로 감소할 때마다 [자가 분열] 패턴을 발동하여 '곰팡이 슬라임(M-ETC001)'을 소환한다.
6,M-ETC004,1,초기 대응,,미로의 정해진 경로를 따라 순찰하며 침입자를 탐색한다.
7,M-ETC004,2,교전 수칙,,"대상을 발견하면 둔하지만 끈질기게 추격하며, 근접 시 가시 돋친 몸으로 돌진한다. '덩굴 올가미(T-002)'에 걸린 대상을 우선적으로 공격한다."
8,B-G002-MAIN,1,초기 대응,,"온실 중앙에 고정된 상태로, 꽃봉오리를 열어 전투 태세를 갖춘다."
9,B-G002-MAIN,2,교전 수칙,SCN-007,가장 위협적인 헌터의 발밑을 노려 [뿌리 가시 발사] 패턴을 사용한다.
10,B-G002-MAIN,3,특수 패턴,SCN-006,"전투 시작 후 30초마다, 또는 체력이 일정 수준 감소할 때마다 [수면 가루 살포] 패턴을 사용한다."
11,M-ETC005,1,초기 대응,,정해진 구역을 배회하며 침입자를 탐색한다.
12,M-ETC005,2,교전 수칙,,"단단한 외피를 이용해 방어하며, 위협적인 적에게 집게발 공격을 가한다. 마법이나 둔기 공격에 노출되면 방어적으로 변한다."
13,M-ETC006,1,초기 대응,,수정 기둥이나 엄폐물 뒤에 숨어 모습을 드러내지 않는다.
14,M-ETC006,2,특수 패턴,SCN-008,플레이어에게 발각되거나 공격받으면 즉시 울음소리를 내어 '수정 공명 파동'을 발동시킨다.
15,B-G003-MAIN,1,초기 대응,,둥지에 진입한 헌터들을 향해 위협적인 포효를 내지른다.
16,B-G003-MAIN,2,교전 수칙,,가장 단단해 보이는 탱커에게 [결정화 꼬리치기]를 사용하여 둔화시키고 진형을 무너뜨린다.
17,B-G003-MAIN,3,특수 패턴,SCN-009,"체력이 50% 이하로 떨어지면, 중앙으로 이동하여 [파멸의 공명] 패턴을 시작한다. 패턴이 저지될 때까지 다른 행동을 멈춘다."
18,M-ETC007,1,초기 대응,,탁한 물 속에 숨어 침입자가 접근하기를 기다린다.
19,M-ETC007,2,교전 수칙,,가장 가까운 대상에게 접근하여 물귀신처럼 끌어당겨 이동을 방해하고 지속적인 피해를 입힌다.
20,M-ETC008,1,초기 대응,,"지정된 위치를 지키며 움직이지 않거나, 매우 느리게 순찰한다."
21,M-ETC008,2,교전 수칙,SCN-010,침입자를 발견하면 무거운 무기를 휘둘러 공격한다. '비탄의 종'이 울리면 공격 속도와 파괴력이 크게 증가한다.
22,B-G004-MAIN,1,초기 대응,,"종 아래에서 침입자를 노려보며, 섣불리 접근하는 대상에게 무기를 휘두른다."
23,B-G004-MAIN,2,교전 수칙,,전투 중 주기적으로 종을 타종하려는 자세를 취한다. 이때 경직을 유발하는 스킬로 저지할 수 있다.
24,B-G004-MAIN,3,특수 패턴,SCN-011,저지에 실패하면 '비탄의 종'을 타종하여 방 전체에 강력한 광역 음파 피해를 입힌다.
25,M-ETC009,1,교전 수칙,,가장 가까운 적을 향해 무거운 공격을 가한다. 자신을 강화하는 주술사가 있으면 더욱 공격적으로 변한다.
26,M-ETC010,1,교전 수칙,,하늘을 선회하며 헌터들이 모여있는 안전한 발판에 우선적으로 불씨를 투하한다.
27,M-ETC011,1,교전 수칙,,가장 가까운 적에게 용암 거미줄을 뱉어 이동을 방해한다. 대상이 속박되면 다른 거미들과 함께 집중 공격한다.
28,M-ETC012,1,초기 대응,,전투가 시작되면 즉시 가장 후방으로 이동하여 주문을 외운다.
29,M-ETC012,2,교전 수칙,SCN-013,사거리 내의 모든 흑요석 파수병에게 [재의 갑옷] 버프를 최우선으로 유지한다.
30,M-ETC013,1,초기 대응,,전투가 시작될 때까지 바위나 잿더미 속에 숨어 모습을 감춘다.
31,M-ETC013,2,교전 수칙,,"파티의 힐러나 원거리 딜러가 고립되는 순간, 폭발적인 속도로 달려들어 기습하고 즉시 다시 숨는다."
32,B-G005-MAIN,1,교전 수칙,,"가장 위협적인 대상에게 [흑요석 분쇄]를 사용하여 방어력을 파괴하고, 주기적으로 [화산 폭발]을 시전하여 전장을 뒤덮는다."
33,B-G005-MAIN,2,특수 패턴,SCN-015,체력이 60%와 30%가 될 때마다 '용암의 부름'을 사용하여 용암거미 떼를 소환한다.
