index,RoomID,RoomName,type,dec
1,entrance_hall,부서진 입구 홀,1F / 시작 구역,현실의 게이트와 이계가 만나는 지점. 이계의 먼지가 가득하다.
2,guard_room,낡은 경비실,1F / 전투 구역,오래된 장비와 부서진 가구들이 널려있다. 어둠 속에 기척이 느껴진다.
3,main_corridor,중앙 통로,1F / 이동 구역,천장이 높고 길게 이어진 복도. 곳곳에 균열이 보인다.
4,storage_b1,지하 창고,B1 / 아이템 구역,어둡고 습한 창고. 귀중한 물품이 숨겨져 있을 것 같다.
5,office_1f,버려진 사무실,1F / 함정 구역,"서류가 흩뿌려져 있고, 바닥이 불안정하다."
6,research_lab_1f,오염된 연구실,1F / 기믹 구역,"기괴한 장비들이 놓여 있고, 이상한 액체가 흘러나온다."
7,boss_chamber,영혼의 제단,2F / 보스 구역,마나의 폭풍이 휘몰아치는 제단. 게이트의 핵심 존재가 대기하고 있다.
8,coastal_rift,휘몰아치는 해안 균열,1F / 게이트 입구,제주의 해안선에 열린 거대한 공간 균열. 거친 파도와 이계의 물이 뒤섞여 혼돈을 이룬다.
9,abyssal_descent,심해 강하 터널,B1 / 이동 구역,점점 깊어지는 수압이 느껴지는 어두운 터널. 빛이 거의 없다.
10,coral_maze,변이된 산호 미로,B2 / 복잡 미로,거대하고 변형된 산호들이 얽혀 길을 형성한다. 길을 잃기 쉽다.
11,leviathan_lair,리바이어던의 굴,B3 / 위험 지역,거대한 심해 생명체의 흔적이 곳곳에 남아있는 동굴. 언제든 나타날 수 있다.
12,pressure_chamber_1,고대 압력실 A,B1 / 기믹 구역,고대 문명의 흔적이 남아있는 원형 공간. 마나 압력이 느껴진다.
13,ancient_temple_outer,고대 사원 외곽,B2 / 전투 구역,이끼 낀 돌기둥과 부서진 벽들이 남아있는 고대 사원의 외곽.
14,ancient_temple_inner,고대 사원 내부,B3 / 퍼즐 구역,정교한 문양과 알 수 없는 언어로 가득한 사원 내부. 마나의 기운이 강력하다.
15,boss_altar,심연의 왕좌,B4 / 보스 구역,게이트의 가장 깊은 곳. 거대한 심해 생명체가 왕좌에 앉아 기다린다.
16,distortion_zone,차원 왜곡 지대,1F / 시작 지점,현실의 해운대가 기괴하게 비틀린 공간. 끊임없이 주변 환경이 변한다.
17,shattered_reality,파편화된 현실의 조각,1F / 분기점,수많은 이계의 풍경들이 혼란스럽게 겹쳐진 곳. 길을 찾기 어렵다.
18,dimensional_corridor,초월 차원 복도,2F / 이동 구역,끝을 알 수 없는 길고 어두운 복도. 발소리가 기괴하게 울린다.
19,echo_chamber,잔향의 공간,1F / 기믹 구역,과거의 비명과 속삭임이 메아리치는 원형의 공간.
20,nexus_core,넥서스 코어,B1 / 핵심 구역,게이트를 지탱하는 거대한 에너지 코어가 노출된 곳. 엄청난 마나 압력이 느껴진다.
21,temporal_loop_a,시간의 굴레 A,2F / 함정 구역,발을 들이는 순간 같은 공간을 반복하게 되는 위험한 구역.
22,temporal_loop_b,시간의 굴레 B,2F / 함정 구역,다른 시간의 굴레와 연결된 공간. 탈출 방법을 찾아야 한다.
23,final_conjunction,최종 결합점,3F / 보스 구역,모든 차원이 뒤섞이는 최종 지점. S급 보스가 기다리는 왕좌.
24,transition_chamber,전이실,1F / 시작 지점,"노량진 수산시장의 비릿한 물 냄새와 소음이 가득한 폐기물 처리장의 문을 통과하자, 모든 소음이 거짓말처럼 사라진다. 대신 코를 찌르는 기름과 쇠가 녹스는 냄새, 그리고 수만 개의 톱니바퀴가 불협화음을 내며 맞물리는 소리가 공간을 채운다. 눈앞에는 거대한 황동 벽이 펼쳐져 있고, 바닥은 정교한 기어 장치들로 이루어져 있다."
25,antechamber_of_regulations,규율의 전당,1F / 중앙 홀,"거대한 홀. 천장에서는 거대한 시계추가 위태롭게 흔들리고, 벽면을 따라서는 수많은 태엽 장치들이 저마다의 속도로 움직인다. 이곳은 서고의 규칙을 상징하는 곳이었으나, 지금은 오작동하는 파수병들이 배회하고 있다."
26,gear_path_corridor_alpha,톱니 길목 알파,1F / 통로,"바닥 전체가 거대한 톱니바퀴들로 연결된 통로. 톱니의 움직임을 예측하여 건너야 한다. 일부 톱니는 다른 것보다 빠르게 회전하거나, 갑자기 멈추기도 한다."
27,logic_circuit_room,논리 회로실,1F / 퍼즐 지역,다음 구역으로 가는 문이 굳게 닫혀있다. 문을 열기 위해서는 방 중앙의 제어판과 바닥의 발판을 이용한 논리 회로 퍼즐을 풀어야 한다. 실패 시 천장에서 파수병들이 떨어진다.
28,gear_path_corridor_beta,톱니 길목 베타,1F / 통로,"알파 길목보다 더욱 복잡하고 불안정한 톱니 통로. 곳곳에서 부식 증기가 새어 나오고 있어, 신속하고 정확한 이동이 요구된다."
29,main_maintenance_shaft,중앙 정비 통로,1F / 연결 통로,과거 서고의 모든 기계를 수리하던 통로. 지금은 버려진 부품과 녹슨 공구들이 널려있다. 숨겨진 아이템을 발견할 수도 있다.
30,lift_to_floor_2,2층 승강기 홀,1F / 승강기,거대한 태엽의 힘으로 움직이는 승강기가 있는 방. 승강기는 2층으로 연결된다.
31,central_orrery_hub,중앙 천체실,2F / 중앙 지역,게이트의 중심부. 수십 개의 행성 모델이 복잡한 궤도를 그리며 움직이는 거대한 천체 모형이 있다. 하지만 심하게 오작동하여 중력과 공간을 왜곡시키고 있다. 중간 보스 '해체된 관리인'이 이곳에 있다.
32,planetary_path_mercury,수성의 길,2F / 제어 구역,천체실의 운행을 제어하는 콘솔 중 하나가 있는 방. 방 전체가 빠르게 가열되었다가 냉각되기를 반복한다.
33,planetary_path_venus,금성의 길,2F / 제어 구역,"또 다른 제어 콘솔이 있는 방. 짙은 부식성 가스가 차 있어, 방호 장비 없이는 오래 머무를 수 없다."
34,collapsed_shelving_maze,무너진 서가 미로,2F / 미로 지역,데이터 판을 보관하던 금속 서가들이 무너져 내려 복잡한 미로를 형성했다. 날카로운 금속 파편과 불안정한 구조물 때문에 이동이 매우 위험하다.
35,synchronization_control_room,동기화 제어실,2F / 퍼즐 핵심,모든 행성 경로의 제어 콘솔을 동기화하는 마스터 제어실. 이곳의 퍼즐을 풀어야만 천체실이 안정화된다.
36,lift_to_floor_3,3층 승강기 홀,2F / 승강기,3층으로 향하는 승강기. '사서의 열쇠 톱니'가 있어야만 작동시킬 수 있다.
37,the_silent_atrium,침묵의 아트리움,3F / 진입로,모든 움직임이 멈춘 듯한 고요한 공간. 바닥과 벽에는 두꺼운 녹이 카펫처럼 깔려있어 발소리조차 들리지 않는다.
38,rust_clogged_passage,녹슨 통로,3F / 함정 지역,좁은 통로. 천장과 벽에서 언제 떨어질지 모르는 거대한 녹 고드름이 맺혀있다. 작은 충격에도 반응하여 쏟아져 내릴 수 있다.
39,the_final_index,최후의 색인,3F / 중앙 홀,"서고의 가장 중요한 정보들이 보관되었던 장소. 거대한 원통형 서가들이 멈춰 서 있으며, 사서장의 기운이 짙게 느껴진다."
40,archivists_antechamber,사서장의 전실,3F / 보스 직전,보스의 방으로 이어지는 마지막 복도. 가장 정예화된 태엽톱니 파수병들이 최후의 방어를 하고 있다.
41,throne_of_corrosion,부식의 왕좌,3F / 보스 지역,"거대한 데이터 저장 장치를 개조하여 만든 듯한 '왕좌'에 '부식된 사서장'이 앉아있다. 방 전체가 보스의 영향력 아래 있으며, 주기적으로 바닥의 기어들이 재배열된다."
