index,ID,name,category,desc
1,T-001,바닥 붕괴 함정,Trap,오래된 시설의 약해진 바닥이 플레이어의 무게를 버티지 못하고 무너져 내린다.
2,EV-001,오염 물질 정화,Event,연구실에 퍼진 독성 오염 물질을 정화하는 퍼즐.
3,T-002,강력한 해류,Trap,예고 없이 플레이어를 특정 방향으로 강하게 밀어내는 위험한 해류.
4,T-003,붕괴된 바닥,Trap,고대 사원의 낡은 바닥 일부가 갑자기 무너져 내리는 함정.
5,EV-002,마나 문양 해독 퍼즐,Event,사원의 벽에 그려진 고대의 마나 문양을 올바른 순서로 활성화 시켜야 하는 퍼즐.
6,EV-003,현실 조작 퍼즐,Event,플레이어의 의지에 따라 주변 환경의 일부를 조작하여 길을 찾는 퍼즐.
7,T-004,공간 왜곡 함정,Trap,지나가려는 공간을 왜곡시켜 플레이어를 엉뚱한 곳으로 보내버린다.
8,EV-004,소리 패턴 퍼즐,Event,메아리치는 소리의 패턴을 기억하고 그대로 재현해야 하는 퍼즐.
9,T-005,시간 루프 함정,Trap,특정 구역에 진입하면 짧은 시간 동안 같은 상황이 반복되는 함정.
10,T-006,시간 루프 함정,Trap,특정 구역에 진입하면 짧은 시간 동안 같은 상황이 반복되는 함정.
11,T-007,부식 증기 함정,Trap,"밟거나 근접 시, 방어력을 크게 약화시키는 붉은 증기를 분출하는 바닥의 균열 또는 파이프."
12,EV-005,논리 회로 퍼즐,Event,정해진 순서나 논리 조합에 맞춰 발판 또는 레버를 조작해야만 통과할 수 있는 장치.
